Player;Squad;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;Press%;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Luis Abram;Granada;DF;25;8;560;0;0;0;0.5;0.0;0.0;0.0;0.0;0.08;0.0;La Liga;2;0.32;0.00;88.2;91.3;92.7;75.0;0.0;37.1;0.75;1.5;1.38;2.25;36.12;0.0;0;0.48;0.16;44.4;1.38;7.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.5;24.25;27.5;5.25;14.38;4.5;540.0;144.12;0.0;1.0;0.0;0.0;1.12;0.9;3.12;0.75;0.62;1.5;-6.7;-0.8200000000000001
Marcos Acuña;Sevilla;DF;30;19;1310;1;1;3;1.3;2.0;0.07;0.07;0.21;0.09;0.14;La Liga;10;0.69;0.27;79.5;93.6;85.6;58.2;1.0;30.2;1.0;0.84;1.05;2.74;68.0;1.47;75.7;3.16;0.21;40.5;2.05;9.4;0;0;0;0;0;0;0.0;0;0.0;0.0;4.0;-0.30000000000000004;48.21;60.63;17.05;21.63;9.11;1012.47;363.95;1.32;3.05;1.37;0.68;4.05;0.49;6.21;1.0;1.79;0.89;-8.1;-0.4
Martin Agirregabiria;Alavés;DF;25;17;1404;0;0;1;0.1;0.9;0.0;0.0;0.06;0.01;0.06;La Liga;4;0.26;0.00;71.2;82.5;77.0;43.4;0.1;27.0;1.12;1.59;1.24;3.41;50.82;0.76;72.2;1.54;0.13;47.8;0.82;23.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;29.29;41.12;11.65;14.41;3.12;551.24;277.76;0.76;2.41;1.06;0.59;3.0;1.35;8.0;1.53;1.41;1.88;-22.9;-1.34
Julen Agirrezabala;Athletic Club;GK;21;4;360;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;74.4;100.0;100.0;43.2;0.0;0;0.0;0.0;0.0;0.0;23.75;0.0;0;0.00;0.00;0;1.25;5.3;0;4.6;0.25;-0.4;5;1.25;75.0;25.0;5.0;4.0;0.0;0.0;15.25;20.5;3.5;7.5;4.0;423.75;259.25;0.0;0.25;0.0;0.0;0.0;1.32;3.75;0.0;0.0;0.0;-5.3;-1.32
Sergio Agüero;Barcelona;FW;33;4;151;1;1;0;1.1;0.3;0.6;0.6;0.0;0.64;0.16;La Liga;6;3.58;0.60;72.1;72.0;66.7;100.0;-0.3;22.2;0.25;0.0;0.0;0.25;14.75;0.25;100.0;1.79;0.00;66.7;1.00;1.7;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;-0.10000000000000009;7.75;10.75;4.5;2.5;0.5;117.25;10.75;0.25;0.5;0.0;0.0;0.5;0.42;0.75;0.25;0.5;1.0;-0.5999999999999999;0.22000000000000003
Álvaro Aguirre;Rayo Vallecano;FW;21;1;9;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;100.0;100.0;0;0;0.0;33.3;1.0;0.0;0.0;1.0;3.0;0.0;0;0.00;0.00;0;0.00;0.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;1.0;0.0;0.0;0.0;-0.1;-0.1
Joseph Aidoo;Celta Vigo;DF;26;16;1198;0;0;0;0.1;0.0;0.0;0.0;0.0;0.01;0.0;La Liga;2;0.15;0.00;82.9;85.5;91.1;70.9;0.0;42.0;1.19;1.56;1.69;3.25;49.06;0.12;66.7;0.53;0.00;63.5;1.25;16.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;33.56;40.5;7.38;17.31;8.38;785.19;219.31;0.06;2.69;0.06;0.0;2.31;1.01;8.19;0.12;0.62;2.5;-16.099999999999998;-1.0
Carlos Akapo;Cádiz;DF;28;11;776;0;0;0;0.2;0.1;0.0;0.0;0.0;0.02;0.01;La Liga;4;0.46;0.12;67.3;80.4;74.0;45.7;-0.1;32.6;0.91;1.73;2.36;4.18;36.55;0.18;66.7;0.70;0.12;51.5;0.82;15.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;18.18;27.0;6.73;8.27;2.91;374.45;183.45;0.18;1.09;0.45;0.27;0.91;1.41;6.91;1.0;0.73;1.55;-15.3;-1.39
Ilias Akhomach;Barcelona;FW;17;2;124;0;0;0;0.1;0.4;0.0;0.0;0.0;0.08;0.27;La Liga;4;2.90;1.45;84.6;97.1;80.0;40.0;-0.4;14.3;0.0;0.5;0.0;1.0;35.0;0.5;33.3;5.08;0.00;0.0;3.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;22.0;26.0;17.0;4.0;1.0;306.0;90.0;1.5;1.5;2.5;0.5;3.0;0.2;4.5;2.0;2.5;0.0;-0.30000000000000004;-0.12000000000000001
Paul Akouokou;Betis;MF;24;3;179;0;0;0;0.0;0.0;0.0;0.0;0.0;0.02;0.01;La Liga;2;1.01;0.00;86.0;84.6;91.8;60.0;0.0;32.5;1.33;0.67;1.0;3.0;39.33;0.67;100.0;1.01;0.00;83.3;2.33;2.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;28.67;33.33;11.0;15.0;2.0;514.0;138.67;0.33;2.67;0.33;0.0;2.0;0.73;5.33;2.67;0.0;1.67;-2.2;-0.71
David Alaba;Real Madrid;DF;29;20;1792;1;1;3;0.6;2.0;0.05;0.05;0.15;0.03;0.1;La Liga;13;0.65;0.05;91.7;96.3;94.4;77.8;1.0;36.4;0.75;1.25;1.7;2.65;73.1;0.15;60.0;1.51;0.35;53.6;2.20;20.8;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.4;60.25;65.7;24.65;27.0;7.7;1129.9;377.7;0.75;4.55;0.65;0.1;3.5;1.04;6.05;0.7;0.4;0.75;-20.2;-1.01
Tomás Alarcón;Cádiz;MF;23;18;1247;0;0;1;1.0;1.1;0.0;0.0;0.07;0.07;0.08;La Liga;15;1.08;0.14;70.7;86.5;75.0;55.4;-0.1;32.2;0.83;1.61;1.28;2.83;36.56;0.22;44.4;1.80;0.22;50.0;0.78;22.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.0;19.0;26.89;6.39;7.67;4.56;430.44;118.44;0.72;2.0;0.39;0.17;1.61;1.25;7.61;1.22;0.5;1.22;-21.5;-1.18
Jordi Alba;Barcelona;DF;32;15;1330;0;0;4;0.8;2.2;0.0;0.0;0.27;0.05;0.15;La Liga;14;0.95;0.07;83.6;90.3;86.9;62.2;1.8;34.4;0.73;2.0;1.67;2.87;98.47;0.47;43.8;2.44;0.41;26.1;1.73;13.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.8;75.4;90.2;35.53;32.8;6.13;1288.6;477.33;1.47;5.6;1.87;0.4;7.73;0.91;8.73;1.0;0.93;0.4;-12.899999999999999;-0.86
Raúl Albiol;Villarreal;DF;36;17;1530;0;0;0;0.3;0.0;0.0;0.0;0.0;0.02;0.0;La Liga;3;0.18;0.06;86.6;90.8;92.7;76.7;0.0;37.3;0.53;1.0;1.41;2.41;67.94;0.18;75.0;0.18;0.00;61.8;1.29;18.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;51.76;59.76;11.0;27.71;12.59;1239.47;337.47;0.06;2.59;0.0;0.0;2.35;1.09;9.35;0.76;0.65;2.0;-18.2;-1.07
Paco Alcácer;Villarreal;FW;28;9;408;0;0;2;1.3;1.6;0.0;0.0;0.44;0.29;0.35;La Liga;9;1.99;0.44;75.8;82.7;69.2;85.7;0.4;31.7;0.22;0.11;0.33;0.67;15.44;0.33;60.0;1.76;0.66;43.8;1.33;5.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.3;8.33;11.0;4.78;2.0;0.67;118.78;24.11;0.56;0.56;0.33;0.11;0.78;0.57;1.0;0.22;0.11;0.78;-3.8;-0.27999999999999997
Rubén Alcaraz;Cádiz;MF;30;1;30;0;0;0;0.1;0.0;0.0;0.0;0.0;0.25;0.0;La Liga;2;6.00;0.00;86.7;100.0;100.0;50.0;0.0;40.0;2.0;0.0;0.0;2.0;20.0;0.0;0;6.00;0.00;0.0;3.00;0.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;13.0;15.0;8.0;3.0;2.0;222.0;66.0;0.0;0.0;0.0;0.0;1.0;0.5;3.0;0.0;2.0;0.0;-0.4;-0.25
Omar Alderete;Valencia;DF;25;19;1532;2;2;0;0.7;0.2;0.12;0.12;0.0;0.04;0.01;La Liga;11;0.65;0.23;63.4;80.6;78.2;44.3;-0.2;35.2;1.05;1.26;1.89;3.42;40.68;0.16;75.0;0.41;0.06;65.9;1.21;20.4;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;1.3;18.53;29.21;4.58;7.95;5.68;486.32;218.37;0.16;2.58;0.32;0.0;2.74;1.07;9.16;1.47;0.16;2.95;-19.7;-1.03
Iván Alejo;Cádiz;MF;26;8;385;1;1;1;0.3;0.8;0.23;0.23;0.23;0.06;0.18;La Liga;5;1.17;0.23;51.7;75.9;60.0;24.2;0.2;27.0;1.38;0.62;0.5;2.38;20.25;0.62;38.5;1.87;0.47;37.5;1.00;7.2;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.7;5.75;11.12;2.75;1.5;1.0;100.0;47.75;0.62;0.5;0.75;0.5;1.0;0.9;4.38;1.38;1.88;0.38;-6.9;-0.8400000000000001
Carles Aleñá;Getafe;MF;24;21;1648;0;0;2;1.0;1.6;0.0;0.0;0.11;0.06;0.09;La Liga;31;1.69;0.33;80.4;89.8;82.0;66.7;0.4;22.8;0.62;1.0;0.48;1.48;36.95;0.52;42.3;1.91;0.16;29.4;1.05;14.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.0;23.38;29.1;10.95;8.48;3.52;430.67;89.81;0.71;1.95;0.71;0.24;2.33;0.7;4.86;2.1;0.9;0.48;-13.7;-0.6399999999999999
Mircea Alexandru Tirlea;Alavés;DF;21;1;15;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;71.4;100.0;66.7;66.7;0.0;50.0;0.0;1.0;1.0;1.0;17.0;2.0;66.7;0.00;0.00;50.0;0.00;0.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;10.0;14.0;4.0;4.0;2.0;186.0;127.0;0.0;0.0;0.0;0.0;0.0;0.4;4.0;0.0;0.0;1.0;-0.4;-0.4
Hugo Álvarez;Celta Vigo;FW;36;1;11;0;0;0;0.2;0.0;0.0;0.0;0.0;1.91;0.0;La Liga;1;8.18;0.00;33.3;0.0;100.0;0;0.0;33.3;0.0;1.0;0.0;0.0;8.0;0.0;0;0.00;0.00;0;3.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;1.0;3.0;0.0;1.0;0.0;22.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;1.91
Yeray Álvarez;Athletic Club;DF;27;12;1080;0;0;0;0.3;0.1;0.0;0.0;0.0;0.03;0.0;La Liga;5;0.42;0.00;82.4;92.6;89.3;65.1;-0.1;47.1;1.17;1.17;2.5;4.5;61.83;0.33;80.0;0.50;0.00;54.8;1.00;12.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;42.17;51.17;11.42;22.25;8.25;940.92;377.67;0.17;3.17;0.25;0.0;3.92;1.05;13.0;1.17;0.5;3.33;-12.299999999999999;-1.02
Dani Alves;Barcelona;DF;38;1;90;0;0;1;0.0;0.3;0.0;0.0;1.0;0.0;0.25;La Liga;0;0.00;0.00;84.6;91.4;94.4;54.5;0.7;45.5;2.0;3.0;0.0;4.0;72.0;0.0;0;3.00;1.00;0;1.00;1.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;55.0;65.0;32.0;17.0;6.0;1025.0;414.0;3.0;6.0;2.0;2.0;5.0;1.2;13.0;4.0;1.0;0.0;-1.2;-1.2
Emmanuel Amankwaa Akurugu;Getafe;DF;20;3;79;0;0;1;0.0;0.0;0.0;0.0;1.14;0.04;0.05;La Liga;1;1.14;0.00;67.5;78.9;75.0;42.9;1.0;33.3;0.0;1.0;0.0;0.0;16.33;1.0;75.0;1.14;1.14;66.7;1.00;1.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;9.0;13.33;5.0;3.0;1.0;149.0;55.0;0.33;0.33;0.0;0.0;0.67;0.43;3.0;0.67;0.33;0.67;-1.3;-0.39
Amath;Mallorca;FW,MF;25;13;656;0;0;1;1.1;0.2;0.0;0.0;0.14;0.15;0.03;La Liga;8;1.10;0.55;76.6;84.6;65.0;87.5;0.8;24.6;0.92;0.77;0.54;2.31;17.23;0.69;52.9;1.78;0.14;12.5;1.08;7.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.1;7.54;9.85;4.23;2.0;0.54;109.23;25.0;0.23;0.62;0.15;0.0;0.69;0.58;2.08;1.08;1.15;0.15;-6.5;-0.42999999999999994
Florin Andone;Cádiz;FW;28;5;176;0;0;0;0.3;0.0;0.0;0.0;0.0;0.13;0.02;La Liga;3;1.53;0.51;66.7;85.7;57.1;33.3;0.0;33.3;0.0;0.4;0.2;0.2;11.6;0.4;50.0;2.05;0.00;33.3;0.20;5.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;5.6;8.4;3.6;1.6;0.2;74.4;9.0;0.4;0.6;0.0;0.0;0.4;1.02;1.8;1.0;0.2;1.4;-4.8;-0.89
José Ángel;Osasuna;DF;32;14;634;1;1;1;0.2;1.0;0.14;0.14;0.14;0.02;0.14;La Liga;8;1.14;0.28;76.5;83.6;86.1;57.5;0.0;38.5;1.07;0.71;0.93;2.21;40.07;0.5;58.3;1.70;0.28;72.7;1.21;8.9;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.8;26.29;34.36;9.07;11.5;5.5;579.21;268.5;0.36;2.79;1.21;0.57;2.93;0.64;6.07;0.21;0.36;0.57;-8.700000000000001;-0.62
Josep Antoni Gayá;Mallorca;DF;21;1;58;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;80.0;100.0;57.1;60.0;0.0;0.0;0.0;1.0;3.0;3.0;32.0;0.0;0;0.00;0.00;0;0.00;2.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;20.0;25.0;11.0;4.0;3.0;317.0;70.0;0.0;1.0;0.0;0.0;0.0;2.2;4.0;0.0;0.0;0.0;-2.2;-2.2
Mauro Arambarri;Getafe;MF;26;18;1524;0;0;3;0.8;1.2;0.0;0.0;0.18;0.05;0.07;La Liga;27;1.59;0.35;74.7;82.7;81.1;66.2;1.8;27.4;1.56;1.44;1.56;4.22;48.72;1.72;75.6;2.24;0.41;42.9;1.22;16.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.8;28.28;37.83;10.33;10.0;7.39;636.44;159.83;1.06;2.72;0.44;0.22;2.0;0.91;8.5;2.28;1.61;0.83;-15.5;-0.86
Néstor Araujo;Celta Vigo;DF;30;19;1421;0;0;0;0.2;0.0;0.0;0.0;0.0;0.01;0.0;La Liga;6;0.38;0.06;84.2;90.5;90.7;70.6;0.0;41.5;0.53;1.0;1.32;1.95;49.95;0.26;100.0;0.25;0.00;61.5;1.26;19.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;35.68;42.37;9.47;18.0;7.95;791.26;194.37;0.0;1.74;0.05;0.0;1.63;1.05;8.58;0.53;0.32;2.11;-19.7;-1.04
Ronald Araújo;Barcelona;DF;22;16;1116;2;2;0;0.6;0.4;0.16;0.16;0.0;0.05;0.03;La Liga;10;0.81;0.40;90.4;96.5;94.3;67.7;-0.4;35.0;0.81;1.75;1.38;2.62;58.88;0.12;40.0;0.56;0.00;80.8;1.88;12.1;0;0;0;0;0;0;0.0;0;0.0;0.0;2.5;1.4;46.38;51.31;13.88;26.69;5.5;937.62;263.12;0.25;3.25;0.25;0.06;2.44;0.76;7.06;0.81;0.5;2.62;-11.5;-0.71
Jesús Areso;Osasuna;DF;22;2;172;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;La Liga;0;0.00;0.00;68.2;93.8;66.7;47.1;0.0;42.1;1.5;0.5;0.5;2.5;41.5;0.0;0.0;1.05;0.00;60.0;1.50;4.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;22.5;33.0;7.5;11.0;4.0;466.0;242.5;0.5;1.5;0.0;0.0;1.5;2.15;7.5;2.5;1.5;1.5;-4.3;-2.15
Santiago Arias;Granada;DF;30;8;327;1;1;0;0.6;0.2;0.28;0.28;0.0;0.17;0.05;La Liga;2;0.55;0.28;75.1;80.0;77.9;61.9;-0.2;31.6;0.38;1.0;0.5;1.62;26.62;0.25;33.3;1.38;0.00;33.3;1.38;6.7;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.4;16.25;21.62;6.0;8.38;1.62;291.75;122.75;0.25;0.88;0.12;0.12;1.38;0.84;5.62;0.62;0.5;0.75;-6.1000000000000005;-0.6699999999999999
Santiago Arzamendia;Cádiz;MF;23;10;351;1;1;0;0.2;0.0;0.26;0.26;0.0;0.04;0.0;La Liga;5;1.28;0.26;58.7;75.8;63.3;21.1;0.0;26.7;0.6;0.8;0.5;1.3;14.9;0.2;20.0;0.26;0.00;51.7;1.30;6.2;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.8;5.4;9.2;2.5;1.9;0.4;85.5;23.5;0.0;0.1;0.2;0.2;0.2;0.62;2.9;0.5;0.7;1.5;-6.0;-0.58
Sergio Asenjo;Villarreal;GK;32;2;180;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;86.8;100.0;100.0;65.0;0.0;0;0.0;0.0;0.0;0.0;27.5;0.0;0;0.50;0.00;0;2.00;2.3;0;2.9;0.41;-1.1;4;2.00;42.9;0.0;3.5;1.75;0.0;0.0;23.0;26.5;6.0;10.5;6.5;582.0;343.5;0.0;0.0;0.0;0.0;0.0;1.15;5.0;0.0;0.0;0.0;-2.3;-1.15
Marco Asensio;Real Madrid;FW,MF;26;17;904;5;5;0;3.8;1.3;0.5;0.5;0.0;0.38;0.13;La Liga;31;3.09;1.29;81.6;88.4;86.8;64.2;-1.3;26.9;0.29;0.47;0.76;1.18;30.88;0.53;56.3;3.19;0.50;0.0;2.47;10.3;0;0;0;0;0;0;0.0;0;0.0;0.0;2.6;1.2000000000000002;20.88;25.59;10.76;6.59;3.06;376.94;64.41;0.71;1.24;0.65;0.12;1.47;0.61;3.18;0.35;0.94;0.0;-6.500000000000001;-0.22999999999999998
Iago Aspas;Celta Vigo;FW;34;21;1689;11;9;3;8.4;3.6;0.59;0.48;0.16;0.45;0.19;La Liga;42;2.24;0.96;72.4;82.6;68.3;62.5;-0.6;23.3;0.14;1.05;0.67;1.0;42.9;0.9;59.4;3.25;0.37;33.3;1.24;25.5;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;2.5999999999999996;24.62;34.0;13.81;6.67;2.86;398.67;82.24;1.76;1.29;0.95;0.24;2.29;1.21;5.38;0.71;1.67;0.81;-17.1;-0.76
Ludwig Augustinsson;Sevilla;DF;27;10;443;0;0;1;0.0;0.2;0.0;0.0;0.2;0.01;0.04;La Liga;1;0.20;0.00;83.0;94.5;89.2;40.5;0.8;37.5;0.8;1.3;0.8;2.1;34.8;0.1;100.0;1.83;0.20;75.0;2.40;6.7;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;24.0;28.9;12.0;9.9;1.7;400.7;150.6;0.6;1.2;0.3;0.2;0.9;0.67;2.9;0.8;0.7;1.5;-6.7;-0.66
Serge Aurier;Villarreal;DF;29;6;334;0;0;1;0.3;0.8;0.0;0.0;0.27;0.09;0.22;La Liga;5;1.35;0.27;81.3;80.0;89.0;64.3;0.2;57.9;1.5;0.83;1.0;2.83;50.83;0.33;33.3;1.62;0.27;66.7;1.33;3.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;34.67;42.67;13.33;17.5;3.0;637.0;236.17;0.5;2.67;1.17;0.67;4.83;0.65;7.0;1.0;0.33;1.33;-3.6;-0.56
Ezequiel Ávila;Osasuna;FW;27;21;807;3;3;0;1.7;0.6;0.33;0.33;0.0;0.19;0.07;La Liga;27;3.01;1.12;59.6;63.6;68.2;51.6;-0.6;35.7;0.14;0.57;0.38;0.71;14.05;0.05;11.1;1.34;0.33;26.6;1.19;11.9;0;0;0;0;0;0;0.0;0;0.0;0.0;3.33;1.3;5.33;8.95;2.33;2.14;0.76;101.95;23.19;0.24;0.52;0.24;0.14;0.52;0.57;2.0;0.57;0.9;1.0;-10.200000000000001;-0.37999999999999995
Iddrisu Baba;Mallorca;MF;26;17;1314;2;2;0;1.3;0.2;0.14;0.14;0.0;0.09;0.01;La Liga;15;1.03;0.41;81.2;85.1;87.4;71.6;-0.2;34.7;2.41;1.29;1.41;4.82;40.53;0.71;63.2;0.62;0.00;56.9;1.12;16.8;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.7;24.65;30.35;8.06;11.47;4.59;509.82;141.18;0.24;2.18;0.18;0.06;2.47;0.99;10.29;1.94;1.71;1.94;-15.5;-0.9
Carlos Bacca;Granada;FW;35;15;492;0;0;1;0.7;0.5;0.0;0.0;0.18;0.13;0.08;La Liga;8;1.46;0.37;65.0;77.5;59.5;58.3;0.5;26.8;0.2;0.47;0.07;0.4;9.4;0.53;80.0;2.20;0.37;40.7;0.81;8.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;4.33;6.67;2.07;1.47;0.47;69.13;15.53;0.27;0.47;0.13;0.0;0.47;0.55;1.07;0.2;0.6;0.73;-7.6000000000000005;-0.42000000000000004
Édgar Badía;Elche;GK;29;10;900;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;68.4;100.0;99.0;50.0;0.0;0.0;0.0;0.0;0.1;0.1;38.2;0.0;0;0.00;0.00;0;1.30;18.4;0;19.4;0.29;+4.4;15;1.50;79.2;20.0;4.8;3.2;0.0;0.0;24.0;35.1;3.4;9.7;10.9;814.4;523.9;0.0;0.4;0.0;0.0;0.0;1.84;6.0;0.0;0.0;0.0;-18.4;-1.84
Miguel Baeza;Celta Vigo;DF;21;1;2;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;80.0;100.0;100.0;0.0;0.0;0;0.0;0.0;0.0;0.0;5.0;0.0;0;0.00;0.00;0;0.00;0.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;4.0;5.0;2.0;2.0;0.0;68.0;10.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;-0.3;-0.3
Alejandro Balde;Barcelona;DF;18;4;99;0;0;0;0.0;0.1;0.0;0.0;0.0;0.0;0.05;La Liga;0;0.00;0.00;93.8;100.0;92.6;75.0;-0.1;30.4;0.5;0.5;0.0;0.75;20.75;0.25;25.0;1.82;0.00;0.0;1.50;1.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;15.25;16.25;7.75;6.25;0.75;243.5;58.75;0.25;0.5;0.5;0.0;1.25;0.38;2.0;0.75;0.5;0.0;-1.5;-0.38
Gareth Bale;Real Madrid;FW;32;3;190;1;1;0;0.4;0.0;0.47;0.47;0.0;0.17;0.02;La Liga;7;3.32;0.95;74.5;82.6;85.0;40.0;0.0;30.4;0.0;0.67;1.67;1.67;24.67;0.33;33.3;0.47;0.00;50.0;2.33;3.0;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.6;12.67;17.0;6.33;5.67;0.67;214.67;51.67;0.33;1.0;1.0;0.0;2.0;1.0;2.33;0.67;0.0;1.33;-2.6;-0.83
Mikel Balenziaga;Athletic Club;DF;33;18;1540;0;0;0;0.2;0.4;0.0;0.0;0.0;0.01;0.02;La Liga;6;0.35;0.12;77.3;91.7;76.4;45.2;-0.4;33.2;1.5;2.44;2.0;4.06;53.06;0.44;57.1;0.82;0.06;61.7;1.56;15.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;33.5;43.33;16.5;13.5;2.61;561.11;227.67;0.33;1.83;0.56;0.11;3.61;0.84;8.94;0.94;0.67;1.61;-15.0;-0.83
Iván Balliu;Rayo Vallecano;DF;30;20;1800;1;1;1;0.4;1.6;0.05;0.05;0.05;0.02;0.08;La Liga;10;0.50;0.05;76.7;88.5;80.5;56.9;-0.6;27.6;0.4;1.0;1.9;2.85;59.4;0.7;48.3;2.05;0.20;47.5;1.40;26.1;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.6;38.5;50.2;15.85;16.7;5.35;735.7;339.15;0.9;2.35;0.95;0.65;3.85;1.31;7.45;1.75;2.0;0.95;-25.700000000000003;-1.29
Barbero;Osasuna;FW,MF;23;4;14;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.11;La Liga;0;0.00;0.00;50.0;55.6;0.0;0;0.0;14.3;0.25;0.0;0.0;0.25;4.0;0.0;0;6.43;0.00;25.0;1.00;0.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;1.25;2.5;1.25;0.0;0.0;12.75;0.0;0.25;0.0;0.0;0.0;0.0;0.23;0.5;0.25;0.25;0.25;-0.9;-0.23
Enis Bardhi;Levante;MF;26;15;899;3;1;2;3.1;1.1;0.3;0.1;0.2;0.31;0.11;La Liga;26;2.60;0.50;69.9;83.0;74.8;50.0;0.9;24.2;0.87;0.53;0.87;2.13;34.67;1.33;62.5;3.80;0.20;25.0;0.53;14.3;0;0;0;0;0;0;0.0;0;0.0;0.0;5.0;-0.10000000000000009;17.93;25.67;8.13;5.73;3.0;337.53;110.87;1.27;1.73;0.6;0.07;2.07;0.95;4.6;1.47;1.87;0.13;-11.200000000000001;-0.6399999999999999
Keidi Bare;Espanyol;MF;24;15;781;0;0;1;0.2;0.9;0.0;0.0;0.12;0.02;0.1;La Liga;2;0.23;0.00;85.2;91.4;88.5;71.1;0.1;32.2;0.93;0.93;0.93;2.2;36.2;0.27;50.0;1.38;0.23;45.2;1.40;9.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;26.4;31.0;11.4;10.8;3.6;493.13;120.2;0.47;3.4;0.33;0.07;2.53;0.62;6.0;1.0;1.07;0.93;-9.100000000000001;-0.6
