Player;Squad;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;Press%;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Daniele Baselli;Torino;MF,FW;29;6;149;0;0;0;0.3;0.0;0.0;0.0;0.0;0.17;0.01;Serie A;1;0.60;0.00;73.9;72.7;81.1;71.4;0.0;29.4;0.0;0.17;0.5;0.83;17.17;0.17;100.0;1.21;0.00;11.1;0.50;2.6;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;10.83;14.67;4.0;5.0;1.67;208.5;60.67;0.17;1.33;0.0;0.0;0.5;0.43;4.17;0.67;0.67;0.17;-2.3000000000000003;-0.26
Toma Bašić;Lazio;MF;25;15;621;0;0;2;0.4;0.7;0.0;0.0;0.29;0.06;0.1;Serie A;7;1.01;0.58;84.8;91.8;85.3;60.0;1.3;27.5;0.13;0.73;0.4;0.6;22.87;0.2;60.0;0.58;0.29;46.2;1.40;7.9;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;15.93;18.8;8.93;5.8;1.0;251.13;43.87;0.13;0.87;0.0;0.0;0.33;0.53;2.73;0.6;0.33;0.4;-7.5;-0.47000000000000003
Alessandro Bastoni;Inter;DF;22;20;1574;1;1;2;0.3;1.2;0.06;0.06;0.11;0.02;0.07;Serie A;8;0.46;0.11;89.4;93.7;93.3;77.7;0.8;37.8;1.05;1.05;1.15;2.7;71.2;0.45;75.0;1.32;0.23;67.2;2.45;17.6;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.7;56.65;63.35;21.4;25.7;8.35;1121.0;332.95;0.45;4.2;0.65;0.2;3.55;0.88;8.3;1.2;1.3;2.05;-17.3;-0.86
Simone Bastoni;Spezia;DF,MF;25;21;1628;3;3;2;1.1;2.8;0.17;0.17;0.11;0.06;0.15;Serie A;17;0.94;0.22;74.9;87.7;80.7;48.6;-0.8;26.7;1.1;1.76;1.62;3.48;53.67;1.29;60.0;2.93;0.22;57.6;0.90;33.2;0;0;0;0;0;0;0.0;0;0.0;0.0;1.33;1.9;32.52;43.43;14.57;12.95;4.24;610.52;263.67;1.48;3.14;1.1;0.43;3.62;1.58;7.62;1.38;1.19;0.9;-32.1;-1.52
Rodrigo Becão;Udinese;DF;26;20;1784;0;0;1;0.4;0.5;0.0;0.0;0.05;0.02;0.03;Serie A;9;0.45;0.05;84.1;94.8;92.1;56.1;0.5;47.0;1.9;1.55;1.2;3.7;47.65;0.05;33.3;0.48;0.05;68.9;1.20;25.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.4;32.55;38.7;11.05;16.95;4.15;651.3;212.85;0.2;1.5;0.1;0.05;1.4;1.27;6.35;1.25;1.4;2.1;-25.0;-1.25
Valon Behrami;Genoa;MF;36;10;311;0;0;0;0.1;0.1;0.0;0.0;0.0;0.02;0.04;Serie A;1;0.29;0.00;72.9;80.0;81.5;55.6;-0.1;34.7;0.3;0.4;0.5;1.1;9.6;0.1;100.0;1.45;0.29;0.0;0.80;7.5;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;5.1;7.0;2.0;2.2;0.5;87.7;24.3;0.1;0.4;0.0;0.0;0.4;0.75;2.1;0.8;0.5;0.0;-7.4;-0.73
Vid Belec;Salernitana;GK;31;20;1800;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Serie A;0;0.00;0.00;62.1;97.4;100.0;47.8;0.0;0.0;0.0;0.0;0.0;0.0;29.35;0.0;0;0.05;0.00;0;0.55;36.3;2;34.9;0.27;-8.1;45;2.25;64.7;5.0;5.95;2.64;0.0;0.0;16.8;27.05;1.9;5.55;9.25;656.15;479.45;0.0;0.6;0.05;0.0;0.0;1.81;3.85;0.0;0.05;0.0;-36.3;-1.81
Raoul Bellanova;Cagliari;DF,MF;21;16;1200;0;0;1;0.7;2.1;0.0;0.0;0.07;0.05;0.16;Serie A;10;0.75;0.15;73.4;83.6;73.8;58.8;-1.1;28.9;0.62;1.38;1.81;3.12;38.94;0.75;41.4;1.80;0.07;48.5;0.75;23.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.7;21.19;28.88;10.19;8.44;2.5;379.38;104.44;1.06;0.62;0.94;0.81;1.19;1.44;4.94;0.38;1.06;1.0;-22.400000000000002;-1.39
Andrea Belotti;Torino;FW;28;9;478;2;2;1;1.2;0.3;0.38;0.38;0.19;0.23;0.07;Serie A;15;2.82;0.75;73.1;83.6;75.8;30.0;0.7;29.2;0.0;0.78;0.78;0.89;22.33;0.44;57.1;3.58;0.38;35.4;1.00;5.8;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;0.8;10.56;14.44;6.78;2.78;0.33;140.67;19.78;0.44;0.78;0.22;0.0;0.67;0.64;1.78;0.78;2.22;2.56;-4.6;-0.41000000000000003
Marco Benassi;Empoli;MF;27;1;10;0;0;0;0.0;0.0;0.0;0.0;0.0;0.43;0.0;Serie A;1;9.00;0.00;88.9;100.0;66.7;0;0.0;66.7;0.0;0.0;0.0;0.0;10.0;0.0;0;18.00;0.00;100.0;0.00;0.0;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;8.0;9.0;6.0;2.0;0.0;85.0;18.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.43
