Squad;Competition;Poss%;Gls;G-PK;Ast;xG;xA;Gls/90;G-PK/90;Ast/90;xG/90;xA/90;GA;OG;GA/90;Save%;CS%;PSxG;PSxG/SoT;PSxG+/-;SoTA/90;SoTA/GA;Sh;Sh/90;SoT/90;SoT/G;G-xG;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xA;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;SCA/90;GCA/90;Press%;TklW/90;Blocks/90;Int/90;Err/90;Tkl+Int/90;Touches/90;Dribbles/90;Dribbles%;Points/90;xGA;xGA/90;Aerial%;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90
Sevilla;La Liga;60.9;32;31;25;25.4;19.0;1.45;1.41;1.14;1.16;0.86;16;0;0.73;75.8;50.0;17.1;0.25;1.1;2.82;3.88;264;12.0;3.77;2.68;6.600000000000001;84.3;91.7;90.1;66.9;6.0;495.14;587.14;182.23;220.82;84.95;10228.64;2860.5;9.27;29.95;8.5;2.68;31.27;19.27;2.41;31.3;10.09;13.86;13.18;0.36;27.91;694.32;7.55;55.5;2.09;20.4;0.93;51.3;76.91;12.27;12.36;17.95;5.0;0.22999999999999987
Valencia;La Liga;42.7;33;28;22;25.5;16.2;1.5;1.27;1.0;1.16;0.74;36;2;1.64;67.0;22.7;36.0;0.34;2.0;4.41;2.69;245;11.14;3.82;3.0;7.5;71.7;82.2;79.7;53.0;5.8;254.18;354.36;94.95;101.82;51.32;5484.27;2145.95;8.36;22.09;7.18;2.18;26.68;18.0;2.32;25.9;10.27;14.32;14.82;0.14;31.55;469.59;8.41;56.1;1.32;29.3;1.33;47.7;80.09;17.14;15.45;17.32;-3.8000000000000007;-0.17000000000000015
Villarreal;La Liga;58.9;35;33;31;36.6;27.8;1.59;1.5;1.41;1.66;1.26;23;1;1.05;70.1;40.9;20.9;0.28;-1.1;3.05;2.91;277;12.59;4.27;2.85;-1.6000000000000014;82.9;88.5;88.3;68.9;3.2;450.95;544.18;165.95;207.59;70.05;9057.05;2890.41;9.91;33.36;10.36;2.5;39.18;20.32;2.95;31.9;9.09;13.09;13.86;0.45;29.18;653.91;10.23;58.6;1.45;23.9;1.09;52.1;75.82;13.59;11.32;15.05;12.700000000000003;0.5699999999999998
Arsenal;Premier League;51.5;33;32;24;30.9;19.4;1.57;1.52;1.14;1.47;0.92;25;0;1.19;74.4;47.6;23.5;0.24;-1.5;4.1;3.44;306;14.57;4.95;3.25;2.1000000000000014;81.6;88.8;88.5;58.8;4.6;400.62;491.05;167.9;172.86;52.62;7624.95;2298.05;10.62;28.43;8.95;2.0;29.48;23.52;2.38;30.2;9.29;14.76;13.57;0.52;28.86;602.24;8.0;54.0;1.71;28.8;1.37;47.9;81.33;9.0;9.52;16.62;2.099999999999998;0.09999999999999987
Aston Villa;Premier League;45.7;26;24;21;22.2;16.5;1.24;1.14;1.0;1.06;0.78;32;1;1.52;65.9;28.6;25.0;0.26;-6.0;4.05;2.66;234;11.14;3.62;3.17;3.8000000000000007;76.6;85.7;85.1;54.1;4.5;311.9;407.33;120.81;136.52;48.95;6260.24;2231.71;8.1;23.86;8.05;1.76;30.33;16.95;1.95;28.5;10.33;16.71;16.29;0.19;33.62;525.0;7.48;53.8;1.24;29.0;1.38;48.5;81.14;9.95;13.57;17.19;-6.800000000000001;-0.31999999999999984
Brentford;Premier League;45.4;25;22;16;27.2;17.6;1.09;0.96;0.7;1.18;0.76;38;2;1.65;64.1;17.4;36.4;0.34;0.4;4.48;2.71;250;10.87;3.57;3.73;-2.1999999999999993;71.7;81.6;79.7;50.6;-1.6;302.65;422.26;115.35;134.43;47.65;6074.09;2227.17;7.26;22.83;6.87;2.13;27.26;15.35;1.48;29.8;11.04;15.78;16.26;0.26;35.48;539.65;5.96;53.5;1.0;29.2;1.27;49.7;96.13;10.3;10.17;22.96;-2.0;-0.09000000000000008
Brighton;Premier League;56.1;22;19;19;25.7;17.2;1.0;0.86;0.86;1.17;0.78;23;0;1.05;75.0;27.3;22.8;0.25;-0.2;3.82;3.65;279;12.68;3.64;4.21;-3.6999999999999993;81.3;88.5;87.4;62.1;1.8;448.14;551.45;175.86;202.0;62.18;8729.09;2669.36;9.09;29.59;9.36;2.23;32.64;20.41;1.77;32.2;12.14;17.27;15.36;0.27;35.55;672.41;9.18;59.8;1.36;26.9;1.22;49.9;88.18;9.91;8.55;16.05;-1.1999999999999993;-0.050000000000000044
Burnley;Premier League;39.2;15;15;12;17.3;13.3;0.83;0.83;0.67;0.96;0.74;27;1;1.5;67.5;22.2;22.3;0.28;-3.7;4.61;3.07;191;10.61;3.06;3.67;-2.3000000000000007;68.2;82.1;76.6;48.6;-1.3;245.0;359.17;103.89;86.72;50.11;5253.39;2237.06;7.39;23.33;7.28;2.72;23.22;15.72;1.44;26.8;9.22;19.5;17.61;0.22;34.61;474.72;6.22;54.6;0.67;26.9;1.49;53.5;88.89;9.78;8.11;28.33;-9.599999999999998;-0.53
Chelsea;Premier League;58.8;47;40;32;40.8;29.0;1.96;1.67;1.33;1.7;1.21;18;1;0.75;81.6;41.7;19.2;0.21;2.2;3.17;4.22;347;14.46;4.96;2.98;6.200000000000003;84.5;90.9;89.2;65.1;3.0;507.0;599.96;215.92;222.0;59.58;9388.92;2893.46;10.5;37.33;11.21;1.62;40.5;24.0;3.38;30.6;10.62;15.25;15.67;0.29;33.08;720.5;9.33;59.7;1.96;22.1;0.92;52.2;82.58;10.17;11.17;16.67;18.699999999999996;0.7799999999999999
Crystal Palace;Premier League;50.8;31;28;20;27.5;19.8;1.41;1.27;0.91;1.25;0.9;34;1;1.55;66.7;22.7;29.3;0.28;-3.7;4.23;2.74;244;11.09;3.55;2.79;3.5;79.9;87.8;86.5;58.7;0.2;388.23;486.14;150.86;176.23;54.55;7583.18;2469.14;7.68;23.73;7.86;2.36;27.77;17.05;2.05;29.3;11.36;16.73;14.09;0.27;33.36;615.0;9.45;52.9;1.09;27.2;1.24;53.5;84.32;11.32;12.32;19.91;0.3000000000000007;0.010000000000000009
